"","ISO","OfficialName","Year","Source","Numberoftotalbirths22","NumberofallLBs23","NumberofbabieswithGA","Pretermlt37weeks","Preterm32tolt37weeks","Preterm28tolt32weeks","Preterm24tolt28weeks","Preterm22tolt24weeks","Pretermlt22weeks","Pretermlt32weeks","Pretermlt28weeks","Pretermlt25weeks","MissingGA","Reportedpretermrate","denominatorUsed","pretermRCalculated","calculatedPretermRate","FullcitationSource","sourceSubType","logitPreterm","logitPretermSe","modellingRegionName","modellingRegionIndex","facility_birth","coverageOfWPPLBs","Pretermlt28weeksprop","Pretermlt32weeksprop","DQC","methodGAGroup","dataType"
"25","ARM","Armenia",2016,"Admin",NA,40613,NA,3017,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.43,"LBonly",1,7.42865584911235,"HEALTH AND HEALTHCARE
Statistical yearbook
Yerevan 2020. Table 3.12MINISTRY OF HEALTH OF THE REPUBLIC OF ARMENIA NATIONAL INSTITUTE OF HEALTH NAMED AFTER ACADEMICIAN
S. AVDALBEKYAN
National Health Information Analytic Center
HEALTH AND HEALTHCARE
Statistical yearbook
Yerevan 2018https://nih.am/assets/pdf/atvk/7a49393c82714fa62d26b4ed804ca36b.pdf","2",-2.52263470158113,0.018922305941719,"Western Asia and Northern Africa",4,99.3340148925781,97.2556814099954,NA,NA,"B",2,0
"26","ARM","Armenia",2017,"Admin",NA,37709,NA,2888,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.66,"LBonly",1,7.65864912885518,"HEALTH AND HEALTHCARE
Statistical yearbook
Yerevan 2020. Table 3.12MINISTRY OF HEALTH OF THE REPUBLIC OF ARMENIA NATIONAL INSTITUTE OF HEALTH NAMED AFTER ACADEMICIAN
S. AVDALBEKYAN
National Health Information Analytic Center
HEALTH AND HEALTHCARE
Statistical yearbook
Yerevan 2018https://nih.am/assets/pdf/atvk/7a49393c82714fa62d26b4ed804ca36b.pdf","2",-2.48965643202402,0.0193643665010144,"Western Asia and Northern Africa",4,99.3508377075195,96.7691439129542,NA,NA,"B",2,0
"27","ARM","Armenia",2018,"Admin",NA,36577,NA,2798,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.65,"LBonly",1,7.64961587883096,"HEALTH AND HEALTHCARE
Statistical yearbook
Yerevan 2020. Table 3.12MINISTRY OF HEALTH OF THE REPUBLIC OF ARMENIA NATIONAL INSTITUTE OF HEALTH NAMED AFTER ACADEMICIAN
S. AVDALBEKYAN
National Health Information Analytic Center
HEALTH AND HEALTHCARE
Statistical yearbook
Yerevan 2018https://nih.am/assets/pdf/atvk/7a49393c82714fa62d26b4ed804ca36b.pdf","2",-2.49093443138261,0.0196723748816264,"Western Asia and Northern Africa",4,99.3769989013672,96.4786874868116,NA,NA,"B",2,0
"28","ARM","Armenia",2019,"Admin",NA,35985,NA,3109,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.64,"LBonly",1,8.63971099069057,"HEALTH AND HEALTHCARE
Statistical yearbook
Yerevan 2020. Table 3.12MINISTRY OF HEALTH OF THE REPUBLIC OF ARMENIA NATIONAL INSTITUTE OF HEALTH NAMED AFTER ACADEMICIAN
S. AVDALBEKYAN
National Health Information Analytic Center
HEALTH AND HEALTHCARE
Statistical yearbook
Yerevan 2018https://nih.am/assets/pdf/atvk/7a49393c82714fa62d26b4ed804ca36b.pdf","2",-2.35844177720964,0.0187633727641762,"Western Asia and Northern Africa",4,99.4021835327148,98.5323512499658,NA,NA,"B",2,0
"29","ARM","Armenia",2020,"Admin",NA,36601,NA,2891,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9,"LBonly",1,7.89869129258763,"HEALTH AND HEALTHCARE
Statistical yearbook
Yerevan 2021. Table 3.12MINISTRY OF HEALTH OF THE REPUBLIC OF ARMENIA NATIONAL INSTITUTE OF HEALTH NAMED AFTER ACADEMICIAN
S. AVDALBEKYAN
National Health Information Analytic Center
HEALTH AND HEALTHCARE
Statistical yearbook
Yerevan 2018https://nih.am/assets/pdf/atvk/0b0e76b39832ae2244f1522a8581d87cen.pdf","2",-2.45619206621176,0.019379521670828,"Western Asia and Northern Africa",4,99.4253005981445,104.526502170436,NA,NA,"B",2,0
"30","AUS","Australia",2010,"Admin",299563,297357,297306,23518,19364,2218,NA,NA,NA,NA,1360,576,51,NA,"LBwithGA",1,7.91036844194197,"Australia's mothers and babies 2010.Australian Institute of Health and Welfare","2",-2.45458799888127,0.00679507788992549,"Northern America, Australia and New Zealand, Central Asia and Europe",3,99.1124954223633,99.0816792341551,0.0578280466026023,0.152138787311846,"A",1,0
"31","AUS","Australia",2011,"Admin",301808,299588,299572,23282,19767,2173,NA,NA,NA,NA,1342,577,16,NA,"LBwithGA",1,7.77175436956725,"Australia's mothers and babies 2011.Australian Institute of Health and Welfare","2",-2.47377050890402,0.00682429643887949,"Northern America, Australia and New Zealand, Central Asia and Europe",3,99.1500015258789,99.879979196394,0.0576410961257624,0.150975002147582,"A",1,0
"32","AUS","Australia",2012,"Admin",312116,309861,309804,24671,21173,2231,NA,NA,NA,NA,1267,536,57,NA,"LBwithGA",1,7.9634220345767,"Australia's mothers and babies 2012.Australian Institute of Health and Welfare","2",-2.44732727329772,0.00663630583015348,"Northern America, Australia and New Zealand, Central Asia and Europe",3,99.1750030517578,101.143763648293,0.0513558428924648,0.141785902476592,"A",1,0
"33","AUS","Australia",2013,"Admin",309468,307277,307211,24643,21080,2235,NA,NA,NA,NA,1328,586,66,NA,"LBwithGA",1,8.02152266683159,"Australia's mothers and babies 2013.Australian Institute of Health and Welfare","2",-2.43942634508484,0.00664217178729231,"Northern America, Australia and New Zealand, Central Asia and Europe",3,99.1687469482422,100.574097531119,0.0538895426693179,0.144584669074382,"A",1,0
"34","AUS","Australia",2014,"Admin",312550,310330,310148,25011,21408,2294,NA,NA,NA,NA,1309,590,182,NA,"LBwithGA",1,8.06421450404323,"Australia's mothers and babies 2014.Australian Institute of Health and Welfare","2",-2.43365403842637,0.00659465645867875,"Northern America, Australia and New Zealand, Central Asia and Europe",3,99.1937484741211,103.59942313085,0.0523369717324377,0.144056615089361,"A",1,0
"35","AUS","Australia",2015,"Admin",308874,306725,NA,24954,21507,2192,NA,NA,NA,NA,1255,532,NA,NA,"LBonly",1,8.13562637541772,"Australia's mothers and babies 2015.Australian Institute of Health and Welfare","2",-2.42406055431501,0.0066047495742509,"Northern America, Australia and New Zealand, Central Asia and Europe",3,99.1062545776367,100.49670881265,0.0502925382704176,0.138134166867035,"A",1,0
"36","AUS","Australia",2016,"Admin",314790,312683,312434,24994,21486,2118,NA,NA,NA,NA,1390,619,249,NA,"LBwithGA",1,7.99976955132924,"Australia's mothers and babies 2016.Australian Institute of Health and Welfare","2",-2.44237834674167,0.00659458787367052,"Northern America, Australia and New Zealand, Central Asia and Europe",3,99.0345001220703,101.045409891161,0.0556133472033288,0.140353684884372,"A",1,0
"37","AUS","Australia",2017,"Admin",305651,303478,303377,24690,21432,2113,NA,NA,NA,NA,1145,604,101,NA,"LBwithGA",1,8.13838886929464,"Australia's mothers and babies 2017.Australian Institute of Health and Welfare","2",-2.42369098490476,0.00664006645648235,"Northern America, Australia and New Zealand, Central Asia and Europe",3,98.9878387451172,97.3628319719729,0.0463750506277845,0.131956257594168,"A",1,0
"38","AUS","Australia",2018,"Admin",303017,300902,NA,24572,21320,2006,NA,NA,NA,NA,1246,513,NA,NA,"LBonly",1,8.16611388425467,"Australia's mothers and babies 2018.Australian Institute of Health and Welfare","2",-2.41998822036657,0.00665699553021033,"Northern America, Australia and New Zealand, Central Asia and Europe",3,98.8817520141602,93.9520157865814,0.0507081230669054,0.132345759400944,"A",1,0
"39","AUS","Australia",2019,"Admin",303039,300856,300736,24016,20769,1953,NA,NA,NA,NA,1294,553,120,NA,"LBwithGA",1,7.98574164715897,"Australia's mothers and babies 2019.Australian Institute of Health and Welfare","2",-2.44428588973781,0.00672701037591958,"Northern America, Australia and New Zealand, Central Asia and Europe",3,98.8540344238281,98.594438709466,0.0538807461692205,0.135201532311792,"A",1,0
"40","AUS","Australia",2020,"Admin",NA,295974,295901,24695,19694,2214,NA,NA,NA,NA,2787,NA,73,NA,"LBwithGA",1,8.34569670261337,"National Perinatal Data Collection annual update. Table 3.8Australian Institute of Health and Welfarehttps://www.aihw.gov.au/reports/mothers-babies/australias-mothers-babies/data","2",-2.39627788572273,0.00664689861433449,"Northern America, Australia and New Zealand, Central Asia and Europe",3,98.8314743041992,99.8505483828525,0.112856853614092,0.202510629682122,"A",1,0
"41","AUT","Austria",2010,"Admin",79038,78742,NA,6637,5615,669,NA,NA,NA,NA,397,NA,NA,NA,"LBonly",1,8.42879276624927,"Statistics Austria, https://statcube.at/statistik.at/ext/statcube/ (Table view, Mandatory fileds,Medical variables)","1",-2.38546333585025,0.0128272813723914,"Northern America, Australia and New Zealand, Central Asia and Europe",3,98.5500030517578,100.87239466571,0.0598161820099442,0.160614735573301,"A",1,0
"42","AUT","Austria",2011,"Admin",78403,78109,NA,6466,5492,637,NA,NA,NA,NA,366,NA,NA,NA,"LBonly",1,8.27817537031584,"Statistics Austria, https://statcube.at/statistik.at/ext/statcube/ (Table view, Mandatory fileds,Medical variables)","1",-2.40513777305939,0.0129851152045284,"Northern America, Australia and New Zealand, Central Asia and Europe",3,98.5437469482422,100.343002492228,0.0566037735849057,0.155119084441695,"A",1,0
"43","AUT","Austria",2012,"Admin",79212,78952,NA,6587,5623,656,NA,NA,NA,NA,336,NA,NA,NA,"LBonly",1,8.34304387475935,"Statistics Austria, https://statcube.at/statistik.at/ext/statcube/ (Table view, Mandatory fileds,Medical variables)","1",-2.39662474743101,0.0128698490479323,"Northern America, Australia and New Zealand, Central Asia and Europe",3,98.5250015258789,100.714358608021,0.051009564293305,0.150599666008805,"A",1,0
"44","AUT","Austria",2013,"Admin",79602,79330,NA,6526,5511,681,NA,NA,NA,NA,370,NA,NA,NA,"LBonly",1,8.22639606706164,"Statistics Austria, https://statcube.at/statistik.at/ext/statcube/ (Table view, Mandatory fileds,Medical variables)","1",-2.41197670057703,0.0129216380540653,"Northern America, Australia and New Zealand, Central Asia and Europe",3,98.5062484741211,100.587064298122,0.0566962917560527,0.161048115231382,"A",1,0
"45","AUT","Austria",2014,"Admin",81995,81722,NA,6480,5462,698,NA,NA,NA,NA,366,NA,NA,NA,"LBonly",1,7.92932135777392,"Statistics Austria, https://statcube.at/statistik.at/ext/statcube/ (Table view, Mandatory fileds,Medical variables)","1",-2.45198907532089,0.0129464835819354,"Northern America, Australia and New Zealand, Central Asia and Europe",3,98.4875030517578,100.910045070075,0.0564814814814815,0.164197530864198,"A",1,0
"46","AUT","Austria",2015,"Admin",84662,84381,83641,6542,5579,650,NA,NA,NA,NA,347,NA,740,NA,"LBwithGA",1,7.82152293731543,"Statistics Austria, https://statcube.at/statistik.at/ext/statcube/ (Table view, Mandatory fileds,Medical variables)","1",-2.46684738120037,0.0128774527726605,"Northern America, Australia and New Zealand, Central Asia and Europe",3,98.4625015258789,101.029681158032,0.0530418832161419,0.152399877713238,"A",1,0
"47","AUT","Austria",2016,"Admin",87965,87675,87056,6675,5719,608,NA,NA,NA,NA,386,NA,619,NA,"LBwithGA",1,7.66747840470502,"Statistics Austria, https://statcube.at/statistik.at/ext/statcube/ (Table view, Mandatory fileds,Medical variables)","1",-2.48840862556305,0.0127378760005789,"Northern America, Australia and New Zealand, Central Asia and Europe",3,98.4375,100.976654727216,0.0578277153558052,0.148913857677903,"A",1,0
"48","AUT","Austria",2017,"Admin",87927,87633,86987,6651,5685,669,NA,NA,NA,NA,343,NA,646,NA,"LBwithGA",1,7.64597008748434,"Statistics Austria, https://statcube.at/statistik.at/ext/statcube/ (Table view, Mandatory fileds,Medical variables)","1",-2.49145061999007,0.0127593514687871,"Northern America, Australia and New Zealand, Central Asia and Europe",3,98.4224090576172,100.621182198135,0.0515711923019095,0.152157570290182,"A",1,0
"49","AUT","Austria",2018,"Admin",85812,85535,84804,6210,5324,571,NA,NA,NA,NA,355,NA,731,NA,"LBwithGA",1,7.32276779397198,"Statistics Austria, https://statcube.at/statistik.at/ext/statcube/ (Table view, Mandatory fileds,Medical variables)","1",-2.53813446469818,0.0131815861485693,"Northern America, Australia and New Zealand, Central Asia and Europe",3,98.4207229614258,100.297838909018,0.0571658615136876,0.149114331723027,"A",1,0
"50","AUT","Austria",2019,"Admin",85213,84952,84222,6223,5349,601,NA,NA,NA,NA,319,NA,730,NA,"LBwithGA",1,7.38880577521313,"Statistics Austria, https://statcube.at/statistik.at/ext/statcube/ (Table view, Mandatory fileds,Medical variables)","1",-2.52844390050751,0.0131725045502967,"Northern America, Australia and New Zealand, Central Asia and Europe",3,98.4269790649414,100.245445105258,0.0512614494616744,0.147838663024265,"A",1,0
"51","AUT","Austria",2020,"Admin",NA,83603,82950,5833,4909,553,NA,NA,NA,NA,371,NA,653,NA,"LBwithGA",1,7.03194695599759,"Statistics AustriaStatistics Austria https://statcube.at/statistik.at/ext/statcube/","1",-2.58179230135921,0.0135796051974904,"Northern America, Australia and New Zealand, Central Asia and Europe",3,98.4444351196289,100.309556662067,0.0636036344933996,0.158409051945825,"A",1,0
"52","BEL","Belgium",2010,"Admin",NA,129173,127174,10211,8914,903,NA,NA,NA,NA,394,NA,1999,NA,"LBwithGA",1,8.02915690314058,"Statbel, the Belgian statistical officehttps://statbel.fgov.be/en/themes/population/births-and-fertility#figures","1",-2.43839207489392,0.0103190752163501,"Northern America, Australia and New Zealand, Central Asia and Europe",3,99.8812561035156,100.454160153668,0.0385858388012927,0.127019880521007,"A",1,0
"53","BEL","Belgium",2011,"Admin",NA,127655,125715,9854,8560,912,NA,NA,NA,NA,382,NA,1940,NA,"LBwithGA",1,7.83836455474685,"Statbel, the Belgian statistical officehttps://statbel.fgov.be/en/themes/population/births-and-fertility#figures","1",-2.46451373261597,0.0104934581448223,"Northern America, Australia and New Zealand, Central Asia and Europe",3,99.8913879394531,100.929000632511,0.0387659833570124,0.131317231581084,"A",1,0
"54","BEL","Belgium",2012,"Admin",NA,126993,125201,10171,8846,920,NA,NA,NA,NA,405,NA,1792,NA,"LBwithGA",1,8.12373703085439,"Statbel, the Belgian statistical officehttps://statbel.fgov.be/en/themes/population/births-and-fertility#figures","1",-2.42565243026446,0.0103446669216572,"Northern America, Australia and New Zealand, Central Asia and Europe",3,99.8996887207031,100.908224076281,0.0398190935011307,0.130272342935798,"A",1,0
"55","BEL","Belgium",2013,"Admin",NA,124862,123194,10080,8682,962,NA,NA,NA,NA,436,NA,1668,NA,"LBwithGA",1,8.18221666639609,"Statbel, the Belgian statistical officehttps://statbel.fgov.be/en/themes/population/births-and-fertility#figures","1",-2.41784289707993,0.0103945653037578,"Northern America, Australia and New Zealand, Central Asia and Europe",3,99.9060668945312,100.80897787825,0.0432539682539683,0.138690476190476,"A",1,0
"56","BEL","Belgium",2014,"Admin",NA,124415,122680,10042,8680,934,NA,NA,NA,NA,428,NA,1735,NA,"LBwithGA",1,8.1855233126834,"Statbel, the Belgian statistical officehttps://statbel.fgov.be/en/themes/population/births-and-fertility#figures","1",-2.41740283895777,0.0104144013349878,"Northern America, Australia and New Zealand, Central Asia and Europe",3,99.9131164550781,100.811091124184,0.042620991834296,0.135630352519418,"A",1,0
